date,count,rolling week average
2020-02-29,0,0
2020-03-01,2,1
2020-03-02,0,0
2020-03-03,1,0
2020-03-04,4,1
2020-03-05,8,2
2020-03-06,6,3
2020-03-07,6,3
2020-03-08,0,3
2020-03-09,0,3
2020-03-10,3,3
2020-03-11,6,4
2020-03-12,2,3
2020-03-13,2,2
2020-03-14,10,3
2020-03-15,3,3
2020-03-16,0,3
2020-03-17,12,5
2020-03-18,9,5
2020-03-19,7,6
2020-03-20,11,7
2020-03-21,7,7
2020-03-22,2,6
2020-03-23,16,9
2020-03-24,17,9
2020-03-25,41,14
2020-03-26,47,20
2020-03-27,40,24
2020-03-28,63,32
2020-03-29,68,41
2020-03-30,13,41
2020-03-31,78,50
2020-04-01,66,53
2020-04-02,97,60
2020-04-03,89,67
2020-04-04,116,75
2020-04-05,144,86
2020-04-06,83,96
2020-04-07,79,96
2020-04-08,143,107
2020-04-09,178,118
2020-04-10,187,132
2020-04-11,199,144
2020-04-12,166,147
2020-04-13,90,148
2020-04-14,160,160
2020-04-15,127,158
2020-04-16,150,154
2020-04-17,199,155
2020-04-18,181,153
2020-04-19,107,144
2020-04-20,102,146
2020-04-21,123,141
2020-04-22,132,142
2020-04-23,133,139
2020-04-24,161,134
2020-04-25,103,123
2020-04-26,72,118
2020-04-27,39,109
2020-04-28,112,107
2020-04-29,47,95
2020-04-30,46,82
2020-05-01,165,83
2020-05-02,157,91
2020-05-03,94,94
2020-05-04,86,101
2020-05-05,58,93
2020-05-06,36,91
2020-05-07,23,88
2020-05-08,39,70
2020-05-09,36,53
2020-05-10,22,42
2020-05-11,15,32
2020-05-12,104,39
2020-05-13,10,35
2020-05-14,30,36
2020-05-15,9,32
2020-05-16,14,29
2020-05-17,5,26
2020-05-18,10,26
2020-05-19,5,11
2020-05-20,5,11
2020-05-21,58,15
2020-05-22,3,14
2020-05-23,2,12
2020-05-24,14,13
2020-05-25,8,13
2020-05-26,10,14
2020-05-27,10,15
2020-05-28,15,8
2020-05-29,22,11
2020-05-30,14,13
2020-05-31,5,12
2020-06-01,13,12
2020-06-02,34,16
2020-06-03,12,16
2020-06-04,28,18
2020-06-05,20,18
2020-06-06,26,19
2020-06-07,14,21
2020-06-08,13,21
2020-06-09,12,17
2020-06-10,18,18
2020-06-11,22,17
2020-06-12,25,18
2020-06-13,24,18
2020-06-14,47,23
2020-06-15,48,28
2020-06-16,27,30
2020-06-17,14,29
2020-06-18,41,32
2020-06-19,35,33
2020-06-20,39,35
2020-06-21,35,34
2020-06-22,29,31
2020-06-23,28,31
2020-06-24,55,37
2020-06-25,48,38
2020-06-26,54,41
2020-06-27,57,43
2020-06-28,60,47
2020-06-29,57,51
2020-06-30,54,55
2020-07-01,67,56
2020-07-02,107,65
2020-07-03,124,75
2020-07-04,131,85
2020-07-05,111,93
2020-07-06,102,99
2020-07-07,106,106
2020-07-08,75,108
2020-07-09,224,124
2020-07-10,243,141
